Fold,Train Size,Test Size,Accuracy,Macro F1
1,198435,198435,0.37367399904250764,0.31160282802906
2,396870,198435,0.3471665784765792,0.329672630291532
3,595305,198435,0.3683070022929423,0.32649310983134333
4,793740,198435,0.4660619346385466,0.3562241778879756
5,992175,198435,0.441585405800388,0.34798101310716717
