Model,Baseline Macro F1,Tuned Macro F1,Delta
Logistic Regression,0.6041,0.5950999423453661,-0.009000057654633853
Random Forest,0.6315,0.6304214381384959,-0.0010785618615040127
LightGBM,0.669,0.6581372895926886,-0.01086271040731146
