Model,Accuracy,Macro F1,Weighted F1
Random Forest,0.7110655737704918,0.6499430487727377,0.7212042786387579
XGBoost,0.7274590163934426,0.6463590822892346,0.71158639671495
LightGBM,0.7090163934426229,0.64065343718455,0.7142448916178288
Logistic Regression,0.6926229508196722,0.6155589027299961,0.7098000147984331
