Model,Baseline Macro F1,Tuned Macro F1,Delta
Logistic Regression,0.351,0.2939166811914491,-0.05708331880855089
Random Forest,0.338,0.2589990433042805,-0.07900095669571955
LightGBM,0.341,0.28544275564484684,-0.05555724435515319
XGBoost,0.342,0.35226751752221214,0.01026751752221211
