Model,Has Regime,Accuracy,Macro F1,Weighted F1
LightGBM (regime),True,0.3633196231588745,0.35232126719106355,0.3524828117394563
LightGBM (base),False,0.3628081120628572,0.35012860296921317,0.350199894736957
Random Forest (regime),True,0.36319803445572285,0.34907848374924316,0.34926304101357164
Random Forest (base),False,0.36253977837314316,0.3464023396561702,0.3464522458318615
Logistic Regression (base),False,0.36154191246451917,0.34146154494006997,0.34168283655088827
Logistic Regression (regime),True,0.3603344108608061,0.3377192611570993,0.3378443751986224
